our_slug	polycab_url
industries/cables-by-application/cement-industry/polycab-h05bn4-f-bsen-50525-2-21-mc-300500v-ac	https://polycab.com/polycab-h05bn4-f-bsen-50525-2-21-mc-300500v-ac/a-5050/p-55588
industries/cables-by-application/cement-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-swa	https://polycab.com/polycab-lv-15-cu-iec-60502-1-061kv-mc-swa/a-5043/p-55307
industries/cables-by-application/cement-industry	https://polycab.com/cables/applications/manufacturing-industries/cement-industry
industries/cables-by-application/cement-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-ua	https://polycab.com/polycab-lv-15-cu-iec-60502-1-061kv-mc-ua/a-5043/p-55303
industries/cables-by-application/cement-industry/polycab-lv-25-cu-iec-60502-1-061kv-mc-ua	https://polycab.com/polycab-lv-25-cu-iec-60502-1-061kv-mc-ua/a-5043/p-55309
industries/cables-by-application/cement-industry/polycab-h05ss-k-bsen-50525-2-41-sc-300500v-ac	https://polycab.com/polycab-h05ss-k-bsen-50525-2-41-sc-300500v-ac/a-5050/p-54941
industries/cables-by-application/cement-industry/polycab-lv-al-iec-60502-1-061kv-mc-4-sfa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-4-sfa/a-5046/p-55291
industries/cables-by-application/cement-industry/polycab-lv-al-iec-60502-1-061kv-mc-4-ua	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-4-ua/a-5046/p-55295
industries/cables-by-application/cement-industry/polycab-lv-al-iec-60502-1-061kv-sc-ua	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-sc-ua/a-5046/p-55243
industries/cables-by-application/cement-industry/polycab-lv-cu-iec-60502-1-061kv-mc-2-sfa	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-2-sfa/a-5046/p-55261
industries/cables-by-standards/as-nzs-5000/polycab-solar-as-nzs-5000-pvc-twist-at	https://polycab.com/polycab-solar-as-nzs-5000-pvc-twist-at/a-5034/p-55507
industries/cables-by-application/cement-industry/polycab-lv-al-iec-60502-1-061kv-mc-2-ua	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-2-ua/a-5046/p-55259
industries/cables-by-application/cement-industry/polycab-lv-cu-iec-60502-1-061kv-mc-35-sfa	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-35-sfa/a-5046/p-55273
industries/cables-by-application/cement-industry/polycab-lv-cu-iec-60502-1-061kv-mc-35-swa	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-35-swa/a-5046/p-55275
industries/cables-by-application/cement-industry/polycab-lv-cu-iec-60502-1-061kv-mc-4-swa	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-4-swa/a-5046/p-55299
industries/cables-by-application/cement-industry/polycab-lv-cu-iec-60502-1-061kv-mc-4-ua	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-4-ua/a-5046/p-55301
industries/cables-by-application/cement-industry/polycab-lv-cu-iec-60502-1-061kv-sc-sfa	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-sc-sfa/a-5046/p-55251
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-1c-a2xfay-a2xway	https://polycab.com/polycab-lv-is-7098-i-1c-a2xfay-a2xway/a-5043/p-54734
industries/cables-by-application/cement-industry/polycab-lv-is-7098-i-1c-a2xy	https://polycab.com/polycab-lv-is-7098-i-1c-a2xy/a-5043/p-54738
