=== DATASHEET FILL (DRY RUN — no DB writes) ===
Products with missing datasheet: 499
Mapped to a specific range brochure: 280
Mapped to B2B all-products fallback: 219

By brochure:
   219  B2B All-Products (fallback)
    60  Switches
    49  LED Lighting
    37  LT Cable
    30  Communication & Data Cable
    30  House Wires
    25  HT Cable (MV)
    12  Fans
     9  Dowells
     7  Professional Lighting
     7  Switchgear
     5  Solar Range
     4  Rubber Cable
     1  EHV Cable
     1  Instrumentation Cable
     1  Fire Survival Cable
     1  Solar DC Cable
     1  Green Wire

B2B All-Products (fallback)	industries/cables-by-application/datacenters/polycab-h05z-kh07z-k-bsen	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/datacenters/polycab-h05z-uh07z-u-bsen-50525-3-41	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/datacenters/polycab-h07z-r-bsen-50525-3-41-450750v-ac	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
Communication & Data Cable	industries/cables-by-application/datacenters/polycab-rs-485-300500v-ac-armoured-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
Communication & Data Cable	industries/cables-by-application/datacenters/polycab-rs-485-300500v-ac-unarmoured-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/defence-and-armaments-industry	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/energy-and-power-grid	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/exploration-industries	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/food-and-beverages	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/healthcare	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-35-swa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-sfa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-swa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-ua	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-2-swa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
LT Cable	industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-3-swa	https://cms.polycab.com/media/kb1l12kq/lt-catalogue-ord_17720_v2.pdf
